,precision,recall,far,d2h,mcc,ifa,recall_20
ambari,0.03230348690582212,0.5735803278195192,0.194903295832537,0.3556674580193557,0.08702768893582287,79.83333333333333,0.4769400140794085
amq,0.054741022362898344,0.772543194141828,0.140828236545794,0.19899642127411937,0.17345644261028043,65.76923076923077,0.7684474046729515
bookkeeper,0.0198370721143011,0.6955778579689039,0.350396940491402,0.35134655291013805,0.07243261671007001,350.0,0.4231204758641367
calcite,0.08803260635622713,0.7715330889949484,0.3381545227014852,0.2890381397973862,0.17762048774834643,47.142857142857146,0.4507576156242887
cassandra,0.03432646158354084,0.7797618139415252,0.24252488996658755,0.23995430066130136,0.1254801087832639,92.8,0.5914614664099587
flink,0.0040767110702802,0.0826542491268917,0.0285580216016859,0.6489756494826093,0.0121812288157125,2.0,0.0826542491268917
groovy,0.019247387703519764,0.597487048423938,0.15218346788313455,0.3196271603405035,0.08157017841190421,263.2307692307692,0.5823641750780022
hbase,0.025883790982164326,0.7357445367790072,0.2551139534509269,0.2674034709171342,0.10138072467903637,182.5,0.49509877763891846
hive,0.013168681405721134,0.2888002353144771,0.06415454302036562,0.5052063308921168,0.04325945067130899,1478.3333333333333,0.2888002353144771
ignite,0.044668500327918956,0.803098930357812,0.28874697583670195,0.24788157016315482,0.14354361637655288,25.5,0.5913527494452897
log4j2,0.061999936890619056,0.7821761970314005,0.1962569311512285,0.21259760006149248,0.1830398234677138,14.8,0.695522038362321
mahout,0.05999488618992277,0.6586939672603682,0.14281051295230654,0.2653247817352362,0.16365774570744168,74.2,0.6586939672603682
mng,0.02933519557884346,0.8481943452489681,0.1422256947240248,0.14867666210624525,0.1394222745887612,353.6,0.8481943452489681
nifi,0.03326016013569757,0.65255456522941,0.21573648659687503,0.28972915873132066,0.10964709995058956,13.0,0.5511673907554253
nutch,0.0407728036890432,0.7717382163176655,0.18863974375008966,0.21167631912493823,0.14764740679904834,46.833333333333336,0.7089487790121473
storm,0.028280808918480102,0.605967176687506,0.040245640300845875,0.2812011048650003,0.11435772708395037,620.0,0.605967176687506
tika,0.07737990099671979,0.7934084024125152,0.22868842275695506,0.22029071122709928,0.1970784745121368,32.45454545454545,0.6340332084380708
ww,0.05547215502224419,0.7307553586471861,0.12069508182638969,0.21389449856984283,0.1699211094166775,49.785714285714285,0.7257394427602372
zookeeper,0.032312723713082935,0.6747393833211376,0.23930435261111208,0.29796607964585065,0.09886358319160567,71.66666666666667,0.4888349217163385
