,precision,recall,far,d2h,mcc,ifa,recall_20
ambari,0.04080084135088942,0.5245847956430735,0.15091212578428723,0.36178060629734904,0.1008368238016295,513.1666666666666,0.5101745483561139
amq,0.060108117550300655,0.7231119428674325,0.12020824896683524,0.21909224248395925,0.17701253927466157,93.6923076923077,0.7231119428674325
bookkeeper,0.01877579688547,0.6020607572707414,0.3011463485421999,0.3662104184452399,0.0631177557477281,1594.0,0.2990226260333233
calcite,0.10436283688684811,0.7071994317103284,0.2578200925534694,0.27640516573176693,0.19776166753861021,64.85714285714286,0.532586064494906
cassandra,0.03631677900979392,0.6707016597411404,0.20112502060101498,0.27851968747662403,0.11814240195529828,4439.8,0.5146223312883031
flink,0.0040362500951945,0.0616996507566938,0.0215325342465753,0.6636532209750775,0.0103788882063951,19.0,0.0616996507566938
groovy,0.02188863859938506,0.579828259236118,0.1290447545625504,0.3239141348073419,0.0878831882382165,374.0769230769231,0.5719759980757283
hbase,0.025939196782845272,0.6605949165842702,0.22647282166230512,0.29544519845170275,0.09429393435833926,408.25,0.5078874082219587
hive,0.013987044341223498,0.29140364292936527,0.061340804449713536,0.5031280123001701,0.045425414023189135,552.3333333333334,0.29140364292936527
ignite,0.0562394703007948,0.6873499346056776,0.1939777151372357,0.260173049854294,0.15660639700416784,480.0,0.6819601701431662
log4j2,0.07456381692442147,0.6800413341296299,0.1391690476600222,0.247800749094727,0.19161713423524485,140.7,0.6800413341296299
mahout,0.06799658408347052,0.6451820134192683,0.12668780168865545,0.2695643724748294,0.17561286090041509,205.6,0.6451820134192683
mng,0.03609878273640154,0.7361106824697987,0.09994646916596336,0.19979866667048554,0.1460526813607938,78.4,0.7361106824697987
nifi,0.03431976159252317,0.580384752916914,0.18574998848508942,0.3249852603679815,0.10461641137503302,24.333333333333332,0.5653146245970095
nutch,0.04734175859070344,0.7960584965644931,0.16626145602534734,0.18643941201862302,0.16691404713283953,51.416666666666664,0.7956259706129362
storm,0.02819492514376175,0.4739766755033491,0.03378643056815485,0.37280380417514747,0.10142721599439965,356.25,0.4739766755033491
tika,0.08984601845412225,0.7325193580747474,0.1791012587770844,0.2281836662049767,0.20896416052487699,56.45454545454545,0.6991615559588765
ww,0.057501801835065425,0.6111405437856215,0.09892283040571792,0.2850150654007161,0.15600258280039533,134.57142857142858,0.6111405437856215
zookeeper,0.0369299833884462,0.6463787976317178,0.19967822257719256,0.29601079944807146,0.1087886264968913,49.666666666666664,0.6226958602255609
