,precision,recall,far,d2h,mcc,ifa,recall_20
ambari,0.014711099936719768,0.310353227341635,0.13489799515120698,0.5245272236514422,0.04382933194530227,112.5,0.23536657016319704
amq,0.04124624716384414,0.41595877149340355,0.09585705978191852,0.42126776073842515,0.10553226648802795,333.46153846153845,0.41595877149340355
bookkeeper,0.0056766113430404,0.3766891891891892,0.24856956338082256,0.5497578552496014,0.0221380428774265,52.0,0.16554054054054054
calcite,0.07429931347370508,0.6712011455755675,0.35262349822135414,0.3427488748303337,0.13004442926912238,32.285714285714285,0.3780025187427281
cassandra,0.03422640984971688,0.5317535281145942,0.16605415389475725,0.3571242068118675,0.10145602855800302,59.2,0.5172857619976525
flink,0.0,0.0,0.0,0.7071067811865475,0.0,0.0,0.0
groovy,0.021970819506098454,0.08532682033767072,0.01849846613739157,0.6473423457737453,0.027458854201830637,664.2307692307693,0.08532682033767072
hbase,0.02321665243729195,0.5416297477803087,0.21667563386241523,0.363425113222247,0.07523801887150278,163.0,0.499640283881951
hive,0.0,0.0,4.97237619009e-05,0.7071067838089794,-0.00031895384238963333,0.0,0.0
ignite,0.0353825774582953,0.6308644183032057,0.2898003164158559,0.3326954739308786,0.0954742968041189,19.0,0.4791491854020272
log4j2,0.1519211173622577,0.36331237898346264,0.1072943923832683,0.46257947778017383,0.15730692796659573,130.2,0.3622280416340651
mahout,0.03558492491789792,0.16247027634366745,0.04501244391478176,0.593923429245846,0.054328144978822504,401.6,0.16247027634366745
mng,0.01946695551815028,0.23606278629759125,0.06401150413008314,0.5441850677972556,0.05133665427042807,142.4,0.23606278629759125
nifi,0.024396895414121336,0.30713612472463847,0.14829446105157465,0.5046817321809208,0.0490646129001742,283.3333333333333,0.2949507074362668
nutch,0.017493209090958365,0.07122040834531751,0.027954668593679666,0.6573706371812532,0.018994862142780764,108.75,0.07122040834531751
storm,0.0,0.0,0.0,0.7071067811865475,0.0,0.0,0.0
tika,0.06166154336422163,0.508120482087691,0.1866656243272689,0.3808271520084164,0.12365453173237602,5.636363636363637,0.4468740822465466
ww,0.02998752500014142,0.12298046030040978,0.039594978339783836,0.6226890301298155,0.039412416879472896,74.42857142857143,0.12298046030040978
zookeeper,0.01884577310176123,0.16068942678770362,0.0988855636262702,0.5985992768108755,0.019723652725481832,250.66666666666666,0.16068942678770362
