,precision,recall,far,d2h,mcc,ifa,recall_20
ambari,0.030142014677559087,0.5601430895834644,0.24438266033626013,0.3566078780737952,0.07798363713862164,1155.0,0.4864398142849266
amq,0.03164675854862397,0.6882134829836892,0.23909133479797295,0.2788130700663644,0.105151656048388,845.3846153846154,0.6178730319016581
bookkeeper,0.012980567049645751,0.3633068488456761,0.24933034015131944,0.48350187982287673,0.0245754013568882,35.0,0.22649724804043345
calcite,0.06324158023568137,0.38663078235580267,0.2417353184745949,0.46623317153550564,0.06570197820998,161.71428571428572,0.3205186253339093
cassandra,0.014799008946930838,0.33232552032880436,0.2500285547360275,0.5042805060120779,0.01988778590561852,434.8,0.2179832950485757
flink,0.0036994632800142,0.6507566938300349,0.2478661749209694,0.3028271186456726,0.0350152287341555,277.0,0.610011641443539
groovy,0.011959837539706069,0.5470956507561946,0.24570436502071308,0.3647956944717384,0.049625069932021586,935.1538461538462,0.41069902026525684
hbase,0.011738547401194075,0.2777316106120026,0.24861779750824387,0.5414003444481581,0.011736864592919127,743.75,0.21060064720068053
hive,0.0042181319335342,0.40307304784229453,0.2475590899955223,0.4571294090592628,0.015552784569145967,1390.6666666666667,0.2798621931049043
ignite,0.0404027055182676,0.6206732275071114,0.2478007100066817,0.3203901597511891,0.10914871726296804,264.5,0.5418967286882819
log4j2,0.03522994910156524,0.5310681270934923,0.2438157175948153,0.37402732458471843,0.0841856914560811,222.8,0.43987758138524197
mahout,0.030583836882177577,0.5008447344113938,0.24281017447130943,0.3928881651974502,0.07337248352422718,365.8,0.2957675694238038
mng,0.01374380960621426,0.670059375107885,0.2467778544659171,0.2926695308524693,0.06731078495526703,537.0,0.6321811631374158
nifi,0.02162644162305517,0.4596721515835644,0.24595684730846776,0.41979502733456076,0.052624259557810436,146.66666666666666,0.3844654780137839
nutch,0.01723672950913138,0.4201327913770951,0.24728368241699028,0.4462604621245079,0.03940751267368029,400.25,0.33013618068180234
storm,0.003497702696118725,0.40276761302936503,0.2515248181915153,0.45993802879685086,0.012454563255148324,3129.25,0.27957410912153885
tika,0.04924156887125963,0.5291014905673193,0.2419029244705449,0.376257254558432,0.09392829604490759,494.3636363636364,0.45323499950287827
ww,0.027369804639041182,0.5590276261531885,0.2440069884294004,0.35680275952790375,0.0734132248868529,475.2142857142857,0.4639960510604448
zookeeper,0.0251605136138804,0.4646464435175175,0.24631261542529972,0.4167096855116276,0.0558577951565279,147.33333333333334,0.40609391392491445
