,precision,recall,far,d2h,mcc,ifa,recall_20
ambari,0.03580943230810638,0.5901645354734065,0.19032578526874336,0.33897115231893826,0.0963976820375783,708.8333333333334,0.513873581902973
amq,0.0542859045684878,0.7668506741177535,0.14196737212709115,0.20245824309200938,0.17129349832362437,53.38461538461539,0.7581093474820245
bookkeeper,0.017189232947899452,0.676717030025271,0.3688322703109479,0.37053586774333425,0.0615866407751762,260.5,0.3832826487343127
calcite,0.08801953084561734,0.771800491900241,0.3381975234470151,0.2889691302631378,0.17767508889103892,92.42857142857143,0.45053231466860544
cassandra,0.03424718208308434,0.7703950377578354,0.2389682086338818,0.24189720155917988,0.12412806961245144,85.4,0.5712999978058722
flink,0.0034387507751282,0.0710128055878929,0.0291062961011591,0.6572154836331865,0.0093526353251755,3807.0,0.0710128055878929
groovy,0.01998308932042396,0.5847113938164619,0.1441852855028956,0.32724325385272085,0.08231854044070043,572.6153846153846,0.5694431082268152
hbase,0.02469194546593725,0.7047679463005191,0.25411435312694447,0.2857421584652414,0.09443694568196077,74.5,0.4897921857755654
hive,0.0135266350364947,0.2991807884079957,0.06539344856545823,0.497946758456249,0.04494132733562453,1579.3333333333333,0.2991807884079957
ignite,0.044869042848069,0.7895554607486089,0.28251671858366306,0.24910309420964555,0.1422722868866633,44.5,0.6092899749370684
log4j2,0.061440749315068745,0.7720233164532916,0.19542166889820883,0.21706435645310634,0.18046962525553578,14.4,0.6921340424196943
mahout,0.05733724613824108,0.6703808064498313,0.15499459922153874,0.2623507975482198,0.15932443483023712,108.2,0.6412220702488416
mng,0.029975829487155277,0.8588672700439336,0.1411505827903891,0.14247173824053092,0.14232273948277735,244.6,0.8588672700439336
nifi,0.0337554606483502,0.6492657767355914,0.2117938374249011,0.29056626285357656,0.11070979547801625,19.666666666666668,0.5538992298597502
nutch,0.04151241381964819,0.7895454134923984,0.18988384672086647,0.2008996585320789,0.15170672859506754,113.41666666666667,0.7274398778608271
storm,0.025178262760835655,0.505302984196034,0.03921533791156615,0.3510758437346234,0.09845679965751777,233.75,0.505302984196034
tika,0.07864777080968842,0.7877710207761667,0.2226942678977691,0.218997196545142,0.19824923591554644,59.45454545454545,0.6437417737812189
ww,0.05498504630911948,0.7416108423649336,0.12597328534670352,0.20847157245742837,0.16998125637735048,64.5,0.7348735611131884
zookeeper,0.03183823207691327,0.6635005582892092,0.23592023290124473,0.3046829134484266,0.09651756344118789,60.666666666666664,0.489345777399608
