,precision,recall,far,d2h,mcc,ifa,recall_20
ambari,0.023674299618438085,0.7515525885489036,0.41037700720617054,0.3400595987424097,0.07196339958205523,302.3333333333333,0.3848034338219406
amq,0.023165036318994307,0.7931383331079565,0.38381653971202306,0.3088293092926373,0.08530949454211798,1572.8461538461538,0.4642510717069307
bookkeeper,0.01449315648950255,0.7223626161819505,0.43637428673454504,0.3695199662591062,0.05282459467566225,1497.0,0.30556656101426305
calcite,0.06797650739438446,0.7278838149833076,0.4225552369293549,0.3554808893701855,0.12107517197556895,66.57142857142857,0.3685963515351504
cassandra,0.01994835919569368,0.8085153937713809,0.43709502364578734,0.33777869133260335,0.0745014360119661,332.0,0.3921240308748334
flink,0.0027600337471375,0.79976717112922,0.408691714963119,0.3218090300450644,0.0298692979803451,4826.0,0.3585564610011641
groovy,0.010227450142323402,0.8180565783094191,0.43258644339649294,0.3331497096893444,0.055421833035126405,773.7692307692307,0.35632115905036266
hbase,0.015979037845693926,0.7982796208054891,0.45671246786872927,0.3531071259790094,0.06421270596675685,856.25,0.3263050472260541
hive,0.0047456231974548,0.7803093393314112,0.44823024290299324,0.3540019469265701,0.03117830346788693,1225.6666666666667,0.3488389144527229
ignite,0.0308989308183504,0.8310099113729823,0.4384716119123267,0.332286032349966,0.1007167007574281,161.0,0.3878235228262791
log4j2,0.030434565996021436,0.7599519879468726,0.406724022551652,0.3343477701047203,0.09097931463052306,162.1,0.33593116592309136
mahout,0.02615728214341014,0.7278662575811021,0.3957093330453964,0.3398355673716183,0.07888133452395027,806.0,0.3516058694430883
mng,0.01119085070013784,0.862602208343341,0.39932213659986526,0.29959584799880457,0.06598245475476516,900.4,0.5591917904226001
nifi,0.019367694780125136,0.7023121524840984,0.4182432954369255,0.363163900486318,0.06085942749221893,360.6666666666667,0.37736440576100844
nutch,0.017596983073361907,0.7160494849493438,0.40855394425264174,0.3591373878327755,0.06088183790058193,243.0,0.34988594996433625
storm,0.0044720519078975,0.8065348838341605,0.4374386068100534,0.339138391339176,0.0329461305409187,19665.75,0.10719556020609156
tika,0.04672357619450867,0.7786368788024713,0.4011054817287052,0.3240423236689826,0.11600755378492046,192.54545454545453,0.4189563826573525
ww,0.024326565628333564,0.8304480954864004,0.4035347691432823,0.31011942014248456,0.08629602616112637,676.5,0.42203873400729247
zookeeper,0.022487663102150803,0.7244002065757952,0.42034479219121423,0.3556374934947493,0.06581378068079784,176.33333333333334,0.321630895023064
